Hybrid	Gen	sample	S30_equal	S37_equal	R_equal	mu	R_plot
1A	0	D9	30048.64375	9876.9485	0.328698645508751	0.30039172748193	0.30039172748193
1A	5000	A7	44270.044	7884.18075	0.178092905215997	0.30039172748193	0.178092905215997
1A	5000	B8	48046.64475	23337.816	0.485732481871172	0.30039172748193	0.485732481871172
1A	5000	C11	42372.9485	16642.7535	0.392768360219256	0.30039172748193	0.392768360219256
1A	5000	C2	40040.48525	8642.53425	0.215844892888754	0.30039172748193	0.215844892888754
1A	5000	C4	47909.8805	54023.28825	1.12760223332221	0.30039172748193	1.12760223332221
1A	5000	D9	39224.17175	10485.619	0.267325440721384	0.30039172748193	0.267325440721384
1A	9000	A7	40620.68525	4559.5645	0.112247355551443	0.30039172748193	0.112247355551443
1A	9000	B8	39416.28575	6540.08225	0.165923351872392	0.30039172748193	0.165923351872392
1A	9000	C11	40536.3035	12647.40425	0.312001913297299	0.30039172748193	0.312001913297299
1A	9000	C2	35606.19275	7715.7235	0.216696111099943	0.30039172748193	0.216696111099943
1A	9000	C4	59828.03725	56659.32	0.947036249296311	0.30039172748193	0.947036249296311
1A	9000	D9	48411.3975	11222.3385	0.231811909581829	0.30039172748193	0.231811909581829
1B	0	A8	42818.07125	35889.1015	0.838176509410148	0.807130872320258	0.807130872320258
1B	0	C7	40725.16525	31137.842	0.764584791954896	0.807130872320258	0.807130872320258
1B	0	C9	42084.425	35120.5815	0.834526823165577	0.807130872320258	0.807130872320258
1B	0	D8	42388.3015	36000.203	0.849295719008699	0.807130872320258	0.807130872320258
1B	0	F9	48983.61075	33593.01575	0.685801132984056	0.807130872320258	0.807130872320258
1B	0	G10	38758.30125	34147.1695	0.881028538370216	0.807130872320258	0.807130872320258
1B	0	H6	44497.05925	35442.023	0.796502591348214	0.807130872320258	0.807130872320258
1B	5000	A8	44238.769	11350.69225	0.256577940719824	0.807130872320258	0.256577940719824
1B	5000	C7	42199.879	20725.5975	0.491129311057977	0.807130872320258	0.491129311057977
1B	5000	C9	47953.8125	10349.507	0.215822402024865	0.807130872320258	0.215822402024865
1B	5000	D8	41328.12675	21004.014	0.508225648044888	0.807130872320258	0.508225648044888
1B	5000	F9	41575.50825	16882.077	0.406058222992379	0.807130872320258	0.406058222992379
1B	5000	G10	42248.53125	17659.26625	0.417985329371657	0.807130872320258	0.417985329371657
1B	5000	H6	40690.9935	23142.18325	0.56872986524647	0.807130872320258	0.56872986524647
1B	9000	A8	45787.02625	10013.754	0.218702868915843	0.807130872320258	0.218702868915843
1B	9000	C7	41057.95	28797.8035	0.701394090547628	0.807130872320258	0.701394090547628
1B	9000	C9	38809.927	8643.5595	0.22271517027074	0.807130872320258	0.22271517027074
1B	9000	D8	43108.53375	14600.0515	0.338681236171713	0.807130872320258	0.338681236171713
1B	9000	F9	40866.3925	14859.16775	0.363603607781137	0.807130872320258	0.363603607781137
1B	9000	G10	44780.25425	27076.68975	0.604656900758887	0.807130872320258	0.604656900758887
1B	9000	H6	44886.62475	29699.427	0.66165427152105	0.807130872320258	0.66165427152105
1C	0	A7	37000.81825	11121.86375	0.300584264781766	0.328598584044344	0.328598584044344
1C	0	B3	37100.19725	11632.146	0.313533265648608	0.328598584044344	0.328598584044344
1C	0	D1	41347.40275	11787.03525	0.285073171857209	0.328598584044344	0.328598584044344
1C	0	D3	38701.00025	11800.669	0.304918966532396	0.328598584044344	0.328598584044344
1C	0	F11	34424.62375	12030.626	0.349477341782131	0.328598584044344	0.328598584044344
1C	0	F3	34717.995	11511.24225	0.331564142744994	0.328598584044344	0.328598584044344
1C	0	G2	39867.6705	16115.9815	0.404236849002753	0.328598584044344	0.328598584044344
1C	0	G6	38251.064	12982.43675	0.339400670004892	0.328598584044344	0.328598584044344
1C	5000	A7	35851.31325	9343.39525	0.260615146364269	0.328598584044344	0.260615146364269
1C	5000	B3	36519.566	8958.6755	0.245311663889982	0.328598584044344	0.245311663889982
1C	5000	D1	35656.012	10091.16825	0.28301449556389	0.328598584044344	0.28301449556389
1C	5000	D3	39381.52075	9612.9685	0.244098458285159	0.328598584044344	0.244098458285159
1C	5000	F11	37948.55575	8089.985	0.213182948339213	0.328598584044344	0.213182948339213
1C	5000	F3	39202.7355	10044.20575	0.256211859246404	0.328598584044344	0.256211859246404
1C	5000	G2	47192.1735	10194.18075	0.216014224265386	0.328598584044344	0.216014224265386
1C	5000	G6	39629.7875	9013.70575	0.22744774369532	0.328598584044344	0.22744774369532
1C	9000	A7	46920.5085	9372.6755	0.199756477490008	0.328598584044344	0.199756477490008
1C	9000	B3	33879.747	27249.29225	0.804294443225919	0.328598584044344	0.804294443225919
1C	9000	D1	47097.064	10512.0645	0.223199996076189	0.328598584044344	0.223199996076189
1C	9000	D3	38827.677	9827.48625	0.253105181904135	0.328598584044344	0.253105181904135
1C	9000	F11	40495.679	7733.3345	0.190966905382671	0.328598584044344	0.190966905382671
1C	9000	F3	43887.11225	11146.83975	0.253988908782669	0.328598584044344	0.253988908782669
1C	9000	G2	44923.78875	10980.88775	0.244433696612466	0.328598584044344	0.244433696612466
1C	9000	G6	42078.30025	24303.15825	0.577569866311318	0.328598584044344	0.577569866311318
1D	0	B11	41313.7655	13086.5455	0.316759930779004	0.330358830978784	0.330358830978784
1D	0	D1	36958.29625	11630.22775	0.314685170315447	0.330358830978784	0.330358830978784
1D	0	D5	35252.66425	14222.42225	0.403442478819172	0.330358830978784	0.330358830978784
1D	0	E1	38083.3735	12869.02775	0.337917221277679	0.330358830978784	0.330358830978784
1D	0	F1	39943.64975	11873.60625	0.297258921613691	0.330358830978784	0.330358830978784
1D	0	F10	38268.86625	11688.942	0.305442599831397	0.330358830978784	0.330358830978784
1D	0	G7	38605.2525	12823.45475	0.332168653734359	0.330358830978784	0.330358830978784
1D	0	H10	35220.5555	11805.77775	0.335195671459526	0.330358830978784	0.330358830978784
1D	5000	B11	46070.47075	20416.23875	0.443152379770289	0.330358830978784	0.443152379770289
1D	5000	D1	40762.2835	14878.82675	0.365014554447127	0.330358830978784	0.365014554447127
1D	5000	D5	35032.34125	11979.72975	0.341962007749054	0.330358830978784	0.341962007749054
1D	5000	E1	43085.4195	22574.2525	0.523941805881686	0.330358830978784	0.523941805881686
1D	5000	F1	38864.23025	21055.00425	0.541757912470169	0.330358830978784	0.541757912470169
1D	5000	F10	41383.32325	11804.58325	0.285249765435404	0.330358830978784	0.285249765435404
1D	5000	G7	42041.9655	11069.346	0.263292780638431	0.330358830978784	0.263292780638431
1D	5000	H10	43112.62475	11189.6385	0.2595443577116	0.330358830978784	0.2595443577116
1D	9000	B11	47942.85475	34879.5795	0.727524042568617	0.330358830978784	0.727524042568617
1D	9000	D1	43533.78025	17885.20325	0.410835060665332	0.330358830978784	0.410835060665332
1D	9000	D5	38069.06075	9112.826	0.239376171107663	0.330358830978784	0.239376171107663
1D	9000	F1	43934.66725	20988.5325	0.477721439895508	0.330358830978784	0.477721439895508
1D	9000	F10	45721.546	14236.5215	0.311374455710662	0.330358830978784	0.311374455710662
1D	9000	G7	40285.063	15721.92775	0.390266927223125	0.330358830978784	0.390266927223125
1D	9000	H10	52008.7615	11745.14375	0.225830098838251	0.330358830978784	0.225830098838251
2A	0	A6	38663.35175	32006.18925	0.827817242978682	0.844095202822296	0.844095202822296
2A	0	C1	36849.50725	32384.91975	0.87884268113246	0.844095202822296	0.844095202822296
2A	0	D5	41364.109	37013.3975	0.894819165571776	0.844095202822296	0.844095202822296
2A	0	E1	37815.952	29516.6255	0.780533714978272	0.844095202822296	0.844095202822296
2A	0	E12	38336.94475	32858.955	0.857109381414647	0.844095202822296	0.844095202822296
2A	0	E9	39206.84425	31701.50725	0.80857074463472	0.844095202822296	0.844095202822296
2A	0	G4	38255.98775	32937.39125	0.860973489045516	0.844095202822296	0.844095202822296
2A	5000	A6	39107.112	18420.71575	0.471032372577141	0.844095202822296	0.471032372577141
2A	5000	C1	38856.3255	30976.5735	0.797207998991052	0.844095202822296	0.797207998991052
2A	5000	D5	38011.9605	24638.85275	0.648186845032631	0.844095202822296	0.648186845032631
2A	5000	E1	47539.1705	32444.902	0.682487760277601	0.844095202822296	0.682487760277601
2A	5000	E12	39594.98225	21587.95775	0.545219533467527	0.844095202822296	0.545219533467527
